Year,Stage,stage_num,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,home_win,rank_diff,team1_win_rate,team2_win_rate,head_to_head,team1_avg_goals,team2_avg_goals,team1_is_host,coach_exp_diff,team1_conf,team2_conf,team1_conf_strength,team2_conf_strength,conf_strength_diff,team1_recent_form,team2_recent_form,form_diff
1994,Round of 16,2,Brazil,USA,1,0,1,-22,1.0,0.5,0.5,1.75,1.0,0,0,CONMEBOL,CONCACAF,0.58,0.38,0.19999999999999996,0.7,0.45,0.24999999999999994
1994,Match for third place,4,Sweden,Bulgaria,4,0,1,-13,0.6666666666666666,0.4,0.5,2.3333333333333335,1.4,0,0,UEFA,UEFA,0.54,0.54,0.0,0.65,0.6,0.050000000000000044
1994,Round of 16,2,Germany,Belgium,3,2,1,-19,1.0,0.6666666666666666,0.5,2.3333333333333335,0.6666666666666666,0,0,UEFA,UEFA,0.54,0.54,0.0,0.75,0.75,0.0
1994,Semi-finals,4,Sweden,Brazil,0,1,0,2,0.6666666666666666,1.0,0.5,2.3333333333333335,1.75,0,0,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.65,0.7,-0.04999999999999993
1994,Semi-finals,4,Bulgaria,Italy,1,2,0,12,0.4,0.75,0.5,1.4,1.25,0,0,UEFA,UEFA,0.54,0.54,0.0,0.6,0.85,-0.25
1994,Round of 16,2,Spain,Switzerland,3,0,1,-5,0.5,0.0,0.5,2.0,0.0,0,0,UEFA,UEFA,0.54,0.54,0.0,0.85,0.75,0.09999999999999998
1994,Round of 16,2,Saudi Arabia,Sweden,1,3,0,24,0.6666666666666666,0.6666666666666666,0.5,1.3333333333333333,2.3333333333333335,0,0,AFC,UEFA,0.35,0.54,-0.19000000000000006,0.75,0.65,0.09999999999999998
1994,Group F,0,Belgium,Morocco,1,0,1,-9,0.6666666666666666,0.0,0.5,0.6666666666666666,1.0,0,-1,UEFA,CAF,0.54,0.34,0.2,0.75,0.75,0.0
1994,Round of 16,2,Nigeria,Italy,1,2,0,8,0.6666666666666666,0.75,0.5,2.0,1.25,0,0,CAF,UEFA,0.34,0.54,-0.2,0.65,0.85,-0.19999999999999996
1994,Round of 16,2,Netherlands,Republic of Ireland,2,0,1,-3,0.5,0.5,0.5,1.5,0.5,0,1,UEFA,UEFA,0.54,0.54,0.0,0.75,0.7,0.050000000000000044
1994,Round of 16,2,Romania,Argentina,3,2,1,1,0.6666666666666666,0.6666666666666666,0.5,2.3333333333333335,2.0,0,-1,UEFA,CONMEBOL,0.54,0.58,-0.039999999999999925,0.75,0.7,0.050000000000000044
1998,Group C,0,France,Saudi Arabia,4,0,1,-28,1.0,0.4,0.5,2.4,1.0,1,3,UEFA,AFC,0.54,0.35,0.19000000000000006,0.7,0.5,0.19999999999999996
1998,Final,5,Brazil,France,0,3,0,-1,0.8,1.0,0.5,2.2,2.4,0,-3,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.95,0.7,0.25
1998,Group A,0,Brazil,Morocco,3,0,1,-12,0.8,0.0,0.5,2.2,0.5,0,-1,CONMEBOL,CAF,0.58,0.34,0.23999999999999994,0.95,0.9,0.04999999999999993
1998,Group A,0,Brazil,Norway,1,2,0,-13,0.8,0.3333333333333333,0.5,2.2,0.3333333333333333,0,0,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.95,0.75,0.19999999999999996
1998,Group A,0,Brazil,Scotland,2,1,1,-37,0.8,0.0,0.5,2.2,0.0,0,0,CONMEBOL,UEFA,0.58,0.54,0.039999999999999925,0.95,0.65,0.29999999999999993
1998,Group A,0,Scotland,Morocco,0,3,0,25,0.0,0.0,0.5,0.0,0.5,0,-1,UEFA,CAF,0.54,0.34,0.2,0.65,0.9,-0.25
1998,Group B,0,Italy,Austria,2,1,1,-15,0.8571428571428571,0.5,0.5,1.6,1.3781362007168458,0,0,UEFA,UEFA,0.54,0.54,0.0,0.6,0.8,-0.20000000000000007
1998,Group B,0,Italy,Cameroon,3,0,1,-34,0.8571428571428571,0.0,0.5,1.6,0.5,0,0,UEFA,CAF,0.54,0.34,0.2,0.6,0.4,0.19999999999999996
1998,Group C,0,France,Denmark,2,1,1,-17,1.0,0.3333333333333333,0.5,2.4,2.3333333333333335,1,3,UEFA,UEFA,0.54,0.54,0.0,0.7,0.8,-0.10000000000000009
1998,Group C,0,France,South Africa,3,0,1,-24,1.0,0.5,0.5,2.4,1.3781362007168458,1,3,UEFA,CAF,0.54,0.34,0.2,0.7,0.25,0.44999999999999996
1998,Group E,0,Korea Republic,Mexico,1,3,0,7,0.0,0.3333333333333333,0.5,1.5,1.0,0,-1,AFC,CONCACAF,0.35,0.38,-0.030000000000000027,0.8,0.5,0.30000000000000004
1998,Group D,0,Nigeria,Bulgaria,1,0,1,16,0.42857142857142855,0.42857142857142855,1.0,1.2,1.2,0,0,CAF,UEFA,0.34,0.54,-0.2,0.5,0.75,-0.25
1998,Group C,0,Saudi Arabia,Denmark,0,1,0,11,0.4,0.3333333333333333,0.5,1.0,2.3333333333333335,0,0,AFC,UEFA,0.35,0.54,-0.19000000000000006,0.5,0.8,-0.30000000000000004
1998,Group F,0,Germany,IR Iran,2,0,1,-24,0.7142857142857143,0.0,0.5,1.6,0.0,0,0,UEFA,AFC,0.54,0.35,0.19000000000000006,0.85,0.45,0.39999999999999997
1998,Group E,0,Netherlands,Korea Republic,5,0,1,-6,0.625,0.0,0.5,1.4,1.5,0,0,UEFA,AFC,0.54,0.35,0.19000000000000006,0.75,0.8,-0.050000000000000044
1998,Group F,0,USA,IR Iran,1,2,0,-4,0.2,0.0,0.5,0.6,0.0,0,0,CONCACAF,AFC,0.38,0.35,0.030000000000000027,0.65,0.45,0.2
1998,Group D,0,Spain,Nigeria,2,3,0,-50,0.5,0.42857142857142855,0.5,2.25,1.2,0,0,UEFA,CAF,0.54,0.34,0.2,0.85,0.5,0.35
1998,Group D,0,Spain,Bulgaria,6,1,1,-34,0.5,0.42857142857142855,0.5,2.25,1.2,0,0,UEFA,UEFA,0.54,0.54,0.0,0.85,0.75,0.09999999999999998
1998,Group D,0,Nigeria,Paraguay,1,3,0,40,0.42857142857142855,0.0,0.5,1.2,0.0,0,-1,CAF,CONMEBOL,0.34,0.58,-0.23999999999999994,0.5,0.35,0.15000000000000002
